from,to,action,p(s),frequency
0,1,5,1.0,1
1,2,5,1.0,1
2,3,5,1.0,1
3,4,5,1.0,1
4,5,5,1.0,1
5,6,5,1.0,1
6,7,5,1.0,1
7,8,5,1.0,1
8,9,12,1.0,1
9,10,12,1.0,1
10,11,12,1.0,1
11,12,12,1.0,1
12,13,12,1.0,1
13,13,12,1.0,1
13,13,5,0.6666666666666666,2
13,14,5,0.3333333333333333,1
14,14,5,1.0,1
14,15,9,1.0,1
15,15,9,0.5,1
15,16,9,0.5,1
16,17,9,1.0,1
17,17,9,0.5,1
17,18,9,0.5,1
18,19,9,1.0,1
19,20,9,1.0,1
20,21,9,1.0,1
21,22,9,1.0,1
22,23,9,1.0,1
23,24,9,1.0,1
24,25,9,1.0,1
25,26,9,1.0,1
26,27,5,1.0,1
27,28,5,1.0,1
28,29,5,1.0,1
29,30,5,1.0,1
