scene,frame,zebra,traffic,stop_sign
0053e9c440a94c1b84bd9c4223efc4b0,0,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,1,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,2,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,3,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,4,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,5,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,6,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,7,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,8,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,9,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,10,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,11,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,12,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,13,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,14,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,15,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,16,True,True,False
0053e9c440a94c1b84bd9c4223efc4b0,17,True,True,False
0053e9c440a94c1b84bd9c4223efc4b0,18,True,True,False
0053e9c440a94c1b84bd9c4223efc4b0,19,True,True,False
0053e9c440a94c1b84bd9c4223efc4b0,20,True,True,False
0053e9c440a94c1b84bd9c4223efc4b0,21,True,True,False
0053e9c440a94c1b84bd9c4223efc4b0,22,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,23,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,24,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,25,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,26,True,False,False
0053e9c440a94c1b84bd9c4223efc4b0,27,False,False,False
0053e9c440a94c1b84bd9c4223efc4b0,28,False,False,False
0053e9c440a94c1b84bd9c4223efc4b0,29,False,False,False
0053e9c440a94c1b84bd9c4223efc4b0,30,False,False,False
0053e9c440a94c1b84bd9c4223efc4b0,31,False,False,False
0053e9c440a94c1b84bd9c4223efc4b0,32,False,False,False
0053e9c440a94c1b84bd9c4223efc4b0,33,False,False,False
0053e9c440a94c1b84bd9c4223efc4b0,34,False,False,False
0053e9c440a94c1b84bd9c4223efc4b0,35,False,False,False
0053e9c440a94c1b84bd9c4223efc4b0,36,False,False,False
0053e9c440a94c1b84bd9c4223efc4b0,37,False,False,False
0053e9c440a94c1b84bd9c4223efc4b0,38,False,False,False
0053e9c440a94c1b84bd9c4223efc4b0,39,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,0,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,1,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,2,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,3,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,4,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,5,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,6,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,7,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,8,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,9,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,10,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,11,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,12,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,13,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,14,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,15,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,16,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,17,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,18,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,19,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,20,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,21,True,False,False
01452fbfbf4543af8acdfd3e8a1ee806,22,True,False,False
01452fbfbf4543af8acdfd3e8a1ee806,23,True,False,False
01452fbfbf4543af8acdfd3e8a1ee806,24,True,False,False
01452fbfbf4543af8acdfd3e8a1ee806,25,True,True,False
01452fbfbf4543af8acdfd3e8a1ee806,26,True,True,False
01452fbfbf4543af8acdfd3e8a1ee806,27,True,True,False
01452fbfbf4543af8acdfd3e8a1ee806,28,True,True,False
01452fbfbf4543af8acdfd3e8a1ee806,29,False,True,False
01452fbfbf4543af8acdfd3e8a1ee806,30,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,31,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,32,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,33,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,34,False,False,False
01452fbfbf4543af8acdfd3e8a1ee806,35,False,False,False
